payment_date,ex_date,gross_dividend_paid,net_dividend_paid,dividend_type
31/08/2023,23/03/2023,0.262,0.2227,JCP
10/03/2023,08/12/2022,0.4862,0.41327,JCP
02/01/2023,30/11/2022,0.0177,0.015045,JCP
01/12/2022,31/10/2022,0.0177,0.015045,JCP
01/11/2022,30/09/2022,0.0177,0.015045,JCP
03/10/2022,31/08/2022,0.0177,0.015045,JCP
30/08/2022,18/08/2022,0.3065,0.260525,JCP
01/09/2022,29/07/2022,0.0177,0.015045,JCP
01/08/2022,30/06/2022,0.0177,0.015045,JCP
01/07/2022,31/05/2022,0.0177,0.015045,JCP
01/06/2022,29/04/2022,0.0177,0.015045,JCP
02/05/2022,31/03/2022,0.0177,0.015045,JCP
01/04/2022,25/02/2022,0.0177,0.015045,JCP
11/03/2022,21/02/2022,0.0137,0.011645,JCP
02/03/2022,31/01/2022,0.0177,0.015045,JCP
01/02/2022,30/12/2021,0.0177,0.015045,JCP
03/01/2022,30/11/2021,0.0177,0.015045,JCP
30/04/2022,19/11/2021,0.2646,0.22491,JCP
01/12/2021,29/10/2021,0.01765,0.015002499999999998,JCP
01/11/2021,30/09/2021,0.015,0.015,Dividendo
01/10/2021,31/08/2021,0.015,0.015,Dividendo
01/09/2021,30/07/2021,0.015,0.015,Dividendo
26/08/2021,13/08/2021,0.10384,0.088264,JCP
02/08/2021,30/06/2021,0.015,0.015,Dividendo
01/07/2021,31/05/2021,0.015,0.015,Dividendo
26/08/2021,24/05/2021,0.04874,0.041429,JCP
01/06/2021,30/04/2021,0.015,0.015,Dividendo
26/08/2021,27/04/2021,0.05648,0.048008,JCP
03/05/2021,31/03/2021,0.015,0.015,Dividendo
26/08/2021,25/03/2021,0.05064,0.043044,JCP
01/04/2021,26/02/2021,0.015,0.015,Dividendo
01/03/2021,29/01/2021,0.015,0.015,Dividendo
01/02/2021,30/12/2020,0.015,0.015,Dividendo
12/03/2021,25/02/2021,0.1394,0.11849,JCP
12/03/2021,22/01/2021,0.05016,0.042636,JCP
12/03/2021,10/12/2020,0.06396,0.054366,JCP
04/01/2021,30/11/2020,0.015,0.015,Dividendo
01/12/2020,30/10/2020,0.015,0.015,Dividendo
03/11/2020,30/09/2020,0.015,0.015,Dividendo
01/10/2020,31/08/2020,0.015,0.015,Dividendo
01/09/2020,31/07/2020,0.015,0.015,Dividendo
26/08/2020,17/08/2020,0.0529,0.044965,JCP
03/08/2020,30/06/2020,0.015,0.015,Dividendo
01/07/2020,29/05/2020,0.015,0.015,Dividendo
01/06/2020,30/04/2020,0.015,0.015,Dividendo
04/05/2020,31/03/2020,0.015,0.015,Dividendo
01/04/2020,28/02/2020,0.015,0.015,Dividendo
02/03/2020,31/01/2020,0.015,0.015,Dividendo
03/02/2020,30/12/2019,0.015,0.015,Dividendo
06/03/2020,20/02/2020,0.5235,0.44497499999999995,JCP Complementar
06/03/2020,20/02/2020,0.4832,0.4832,Dividendo Complementar
06/03/2020,12/12/2019,0.03756,0.031926,JCP
02/01/2020,29/11/2019,0.015,0.015,Dividendo
02/12/2019,31/10/2019,0.015,0.015,Dividendo
01/11/2019,30/09/2019,0.015,0.015,Dividendo
01/10/2019,30/08/2019,0.015,0.015,Dividendo
02/09/2019,31/07/2019,0.015,0.015,Dividendo
23/08/2019,15/08/2019,0.7869,0.7869,Dividendo Complementar
01/08/2019,28/06/2019,0.015,0.015,Dividendo
01/07/2019,31/05/2019,0.015,0.015,Dividendo
03/06/2019,30/04/2019,0.015,0.015,Dividendo
02/05/2019,29/03/2019,0.015,0.015,Dividendo
01/04/2019,28/02/2019,0.015,0.015,Dividendo
01/03/2019,31/01/2019,0.015,0.015,Dividendo
01/02/2019,28/12/2018,0.015,0.015,Dividendo
07/03/2019,21/02/2019,0.7494,0.63699,JCP Complementar
07/03/2019,21/02/2019,1.0507,1.0507,Dividendo Complementar
07/03/2019,17/12/2018,0.0106,0.00901,JCP
02/01/2019,30/11/2018,0.015,0.015,Dividendo
03/12/2018,31/10/2018,0.015,0.015,Dividendo
01/11/2018,28/09/2018,0.015,0.015,Dividendo
01/10/2018,31/08/2018,0.015,0.015,Dividendo
03/09/2018,31/07/2018,0.015,0.015,Dividendo
30/08/2018,17/08/2018,0.624,0.624,Dividendo Complementar
30/08/2018,17/08/2018,0.1252,0.10642,JCP
01/08/2018,29/06/2018,0.015,0.015,Dividendo
02/07/2018,31/05/2018,0.015,0.015,Dividendo
01/06/2018,30/04/2018,0.015,0.015,Dividendo
02/05/2018,29/03/2018,0.015,0.015,Dividendo
02/04/2018,28/02/2018,0.015,0.015,Dividendo
01/03/2018,31/01/2018,0.015,0.015,Dividendo
01/02/2018,28/12/2017,0.015,0.015,Dividendo
