data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,PETR4,PN,10,16.55,16.55,549628149.0,0.0,99991231
2018-01-03,PETR4,PN,10,16.7,16.72,927610016.0,0.0,99991231
2018-01-04,PETR4,PN,10,16.73,16.96,624099864.0,0.0,99991231
2018-01-05,PETR4,PN,10,16.83,16.86,452007598.0,0.0,99991231
2018-01-08,PETR4,PN,10,17.03,17.03,480575914.0,0.0,99991231
2018-01-09,PETR4,PN,10,17.03,17.16,598574634.0,0.0,99991231
2018-01-10,PETR4,PN,10,16.8,17.05,483077986.0,0.0,99991231
2018-01-11,PETR4,PN,10,17.25,17.3,648199393.0,0.0,99991231
2018-01-12,PETR4,PN,10,17.3,17.41,792052844.0,0.0,99991231
2018-01-15,PETR4,PN,10,17.35,17.44,501946569.0,0.0,99991231
2018-01-16,PETR4,PN,10,17.65,17.84,1035475161.0,0.0,99991231
2018-01-17,PETR4,PN,10,18.36,18.36,1057469228.0,0.0,99991231
2018-01-18,PETR4,PN,10,18.22,18.53,886368844.0,0.0,99991231
2018-01-19,PETR4,PN,10,18.26,18.42,608457563.0,0.0,99991231
2018-01-22,PETR4,PN  ATZ,10,18.47,18.47,620941511.0,0.0,99991231
2018-01-23,PETR4,PN  ATZ,10,18.29,18.46,725655241.0,0.0,99991231
2018-01-24,PETR4,PN  ATZ,10,19.34,19.63,1707747172.0,0.0,99991231
2018-01-26,PETR4,PN  ATZ,10,19.93,19.98,1610693391.0,0.0,99991231
2018-01-29,PETR4,PN  ATZ,10,19.85,20.05,1104404127.0,0.0,99991231
2018-01-30,PETR4,PN  ATZ,10,19.49,19.77,902546047.0,0.0,99991231
2018-01-31,PETR4,PN  ATZ,10,19.7,19.93,823872832.0,0.0,99991231
2018-02-01,PETR4,PN  ATZ,10,20.52,20.62,1052148405.0,0.0,99991231
2018-02-02,PETR4,PN,10,19.97,20.42,1018519535.0,0.0,99991231
2018-02-05,PETR4,PN,10,19.04,19.97,1215492077.0,0.0,99991231
2018-02-06,PETR4,PN,10,19.99,19.99,1437849661.0,0.0,99991231
2018-02-07,PETR4,PN,10,19.44,20.22,1225444170.0,0.0,99991231
